query_x,subject_x,identity,coverage,qlength,bitscore,E-value_x,norm_bitscore_x,query_y,subject_y,norm_bitscore_y,E-value_y
tr|A0A0F7RPZ0|A0A0F7RPZ0_PYTBI,tr|H3AEC2|H3AEC2_LATCH,72.779,349,91,348,0.0,3.8241758241758244,tr|H3AEC2|H3AEC2_LATCH,tr|A0A0F7RPZ0|A0A0F7RPZ0_PYTBI,3.802197802197802,0.0
tr|A0A0F7RPZ1|A0A0F7RPZ1_PYTBI,tr|A0A0F7RQS7|A0A0F7RQS7_LATCH,51.594,345,149,341,5.249999999999999e-128,2.2885906040268456,tr|A0A0F7RQS7|A0A0F7RQS7_LATCH,tr|A0A0F7RPZ0|A0A0F7RPZ0_PYTBI,3.008695652173913,9.079999999999999e-136
tr|A0A0F7RQT5|A0A0F7RQT5_PYTBI,tr|A0A0F7RR28|A0A0F7RR28_LATCH,47.668,193,86,180,2.8699999999999997e-62,2.0930232558139537,tr|A0A0F7RR28|A0A0F7RR28_LATCH,tr|A0A0F7RQT5|A0A0F7RQT5_PYTBI,3.63953488372093,3.06e-65
tr|A0A0F7RQX5|A0A0F7RQX5_PYTBI,tr|A0A0F7RQT2|A0A0F7RQT2_LATCH,74.005,377,88,375,0.0,4.261363636363637,tr|A0A0F7RQT2|A0A0F7RQT2_LATCH,tr|A0A0F7RQX5|A0A0F7RQX5_PYTBI,4.193181818181818,0.0
tr|A0A0F7RR18|A0A0F7RR18_PYTBI,tr|H3BHX7|H3BHX7_LATCH,50.156,321,156,333,1.92e-115,2.1346153846153846,tr|H3BHX7|H3BHX7_LATCH,tr|A0A0F7RPZ0|A0A0F7RPZ0_PYTBI,2.24025974025974,8.65e-124
tr|A0A1C9ZMY3|A0A1C9ZMY3_PYTBI,tr|H3B5N8|H3B5N8_LATCH,94.149,188,11,766,4.49e-117,69.63636363636364,tr|H3B5N8|H3B5N8_LATCH,tr|A0A1C9ZMY3|A0A1C9ZMY3_PYTBI,17.272727272727273,8.6
tr|A0A1C9ZN22|A0A1C9ZN22_PYTBI,tr|H3A1H8|H3A1H8_LATCH,97.959,49,1,478,1.7e-24,478.0,tr|H3A1H8|H3A1H8_LATCH,tr|A0A1C9ZN22|A0A1C9ZN22_PYTBI,49.0,4.49e-26
tr|A0A1C9ZN24|A0A1C9ZN24_PYTBI,tr|H3BHK9|H3BHK9_LATCH,57.895,19,8,198,3.2,24.75,tr|H3BHK9|H3BHK9_LATCH,tr|G9FK43|G9FK43_PYTBI,6.338983050847458,0.041
tr|A0A1C9ZPE9|A0A1C9ZPE9_PYTBI,tr|M3XHS5|M3XHS5_LATCH,85.0,40,5,325,1.89e-14,65.0,tr|M3XHS5|M3XHS5_LATCH,tr|A0A1C9ZN22|A0A1C9ZN22_PYTBI,49.0,3.9000000000000004e-26
tr|A0A1C9ZVC2|A0A1C9ZVC2_PYTBI,tr|M3XHS5|M3XHS5_LATCH,89.744,39,4,284,2.61e-17,71.0,tr|M3XHS5|M3XHS5_LATCH,tr|A0A1C9ZN22|A0A1C9ZN22_PYTBI,49.0,3.9000000000000004e-26
tr|A0A1E1G7Y4|A0A1E1G7Y4_PYTBI,tr|A1IHG9|A1IHG9_LATCH,80.0,230,46,239,4.49e-112,5.195652173913044,tr|A1IHG9|A1IHG9_LATCH,tr|U3NKU0|U3NKU0_PYTBI,4.405172413793103,0.0
